epoch,time,LOSS_train,RMSE_train,R2_train,LOSS_test,RMSE_test,R2_test,Lr
22, 1885.7065133969882, 5275672368392.292, 25679.936, 0.35226205630291596, 15961201551.936764, 3995.1472, 0.7511969844491595, [0.0001]
23, 1971.298036164997, 4798372071106.153, 24490.742, 0.41086416263203795, 49091728884.70598, 7006.549, 0.234758727569789, [0.0001]
24, 2056.8988695539883, 3086549037678.62, 19642.266, 0.6210388388095792, 24452576389.950592, 4944.9546, 0.6188335368104689, [0.0001]
25, 2142.463306657999, 2710854522618.833, 18408.064, 0.6671659626433244, 27536452489.416245, 5247.519, 0.5707621137014038, [0.0001]
26, 2228.0503269899928, 2918984169249.216, 19101.65, 0.641612164015028, 21004466730.11431, 4583.063, 0.6725826282260303, [0.0001]
27, 2313.650322976988, 2120831343574.2253, 16282.012, 0.7396079897520769, 36580037998.91604, 6048.143, 0.42979081283574905, [0.0001]
28, 2399.202235175995, 2531635268078.6675, 17789.166, 0.6891701932514026, 38773175848.90869, 6226.8105, 0.3956042067195795, [0.0001]
29, 2484.766073968989, 2128474918883.0913, 16311.325, 0.7386695247740915, 42245767673.31363, 6499.6743, 0.3414734876206589, [0.0001]
30, 2570.2276471749938, 2080076076147.9922, 16124.811, 0.7446118511130764, 97199562120.61275, 9858.983, -0.5151455914605136, [0.0001]
31, 2655.747231438989, 1620112161276.2063, 14230.742, 0.8010854263447211, 50958497302.522514, 7138.5225, 0.2056595641906095, [0.0001]
32, 2741.3303731999913, 1660257857177.4358, 14405.9795, 0.7961564071229922, 35972726998.919586, 5997.727, 0.4392575693129881, [0.0001]
33, 2826.89077891699, 2337362444707.7285, 17092.99, 0.7130226750469826, 27092000431.348793, 5204.9976, 0.5776902269737747, [0.0001]
34, 2912.4477791789977, 2663474250064.44, 18246.486, 0.6729832306943241, 33631813697.799835, 5799.294, 0.4757476973629652, [0.0001]
35, 2998.121561713997, 1787208525469.4563, 14946.606, 0.7805696232804044, 26984386600.432625, 5194.65, 0.5793677100604833, [1e-05]
36, 3083.662833549999, 1782061771053.0366, 14925.07, 0.7812015329005653, 14220242278.858685, 3770.9734, 0.7783350364111978, [1e-05]
37, 3169.2665299289947, 1383659183416.2732, 13151.327, 0.8301167146744624, 15359984268.640938, 3919.1816, 0.7605687521446269, [1e-05]
38, 3254.871294894998, 1300936945384.8557, 12752.142, 0.8402732082204822, 18258730754.248276, 4273.024, 0.7153831272034399, [1e-05]
39, 3340.418082214994, 1258910871145.2153, 12544.475, 0.8454330970476842, 21544811865.230656, 4641.6387, 0.6641597348355975, [1e-05]
40, 3426.015142532997, 1259513444177.7932, 12547.478, 0.8453591141712289, 14378933936.793896, 3791.9565, 0.7758613527785109, [1e-05]
41, 3511.641247416992, 1183579364739.3872, 12163.364, 0.8546821693265575, 21172191092.436825, 4601.325, 0.669968142907278, [1e-05]
42, 3597.2350754149957, 1239386132019.228, 12446.816, 0.8478303108035004, 15394558164.558594, 3923.5898, 0.7600298146758115, [1e-05]
43, 3682.806180953994, 1283018495452.9985, 12664.017, 0.8424732045626806, 13499448632.533148, 3674.1597, 0.789570758998381, [1e-05]
44, 3768.418822429987, 1213752697082.376, 12317.431, 0.8509775396828685, 12971920747.506985, 3601.6553, 0.7977938572503882, [1e-05]
45, 3854.0002402489918, 1259873049860.8206, 12549.268, 0.8453149624064108, 11378693481.613838, 3373.232, 0.8226290644822608, [1e-05]
